caldt,vwretd
20121210,0.000380
20121211,0.006462
20121212,0.000242
20121213,-0.005975
20121214,-0.003964
20121217,0.011723
20121218,0.011496
20121219,-0.007328
20121220,0.005499
20121221,-0.009196
20121224,-0.002297
20121226,-0.004901
20121227,-0.001007
20121228,-0.010917
20121231,0.016572
20130102,0.025611
20130103,-0.002199
20130104,0.004998
20130107,-0.003084
20130108,-0.002897
20130109,0.002726
20130110,0.007413
20130111,0.000174
20130114,-0.000932
20130115,0.001299
20130116,0.000271
20130117,0.005619
20130118,0.003510
20130122,0.004398
20130123,0.001432
20130124,0.000273
20130125,0.005407
20130128,-0.001824
20130129,0.004958
20130130,-0.003316
20130131,-0.002475
20130201,0.010003
20130204,-0.011541
20130205,0.010499
20130206,0.000737
20130207,-0.001367
20130208,0.005602
20130211,-0.000570
20130212,0.001607
20130213,0.001055
20130214,0.000650
20130215,-0.001190
20130219,0.007348
20130220,-0.012237
20130221,-0.005934
20130222,0.008917
20130225,-0.018226
20130226,0.006260
20130227,0.012895
20130228,-0.000953
20130301,0.002466
20130304,0.004884
20130305,0.009513
20130306,0.001350
20130307,0.001911
20130308,0.004463
20130311,0.003298
20130312,-0.002195
20130313,0.001664
20130314,0.005496
20130315,-0.001658
20130318,-0.005454
20130319,-0.002360
20130320,0.006788
20130321,-0.008486
20130322,0.007151
20130325,-0.003320
20130326,0.008095
20130327,-0.000461
20130328,0.004015
20130401,-0.004271
20130402,0.005018
20130403,-0.010349
20130404,0.004128
20130405,-0.004222
20130408,0.006677
20130409,0.003805
20130410,0.012105
20130411,0.003536
20130412,-0.002725
20130415,-0.022745
20130416,0.014195
20130417,-0.014184
20130418,-0.006677
20130419,0.008839
20130422,0.004653
20130423,0.010427
20130424,0.000123
20130425,0.004200
20130426,-0.001881
20130429,0.007100
20130430,0.002534
20130501,-0.009213
20130502,0.009456
20130503,0.010695
20130506,0.001785
20130507,0.005245
20130508,0.004475
20130509,-0.003264
20130510,0.004434
20130513,0.000144
20130514,0.010441
20130515,0.005529
20130516,-0.004957
20130517,0.010277
20130520,-0.000680
20130521,0.001665
20130522,-0.008264
20130523,-0.002871
20130524,-0.000402
20130528,0.006402
20130529,-0.007039
20130530,0.003664
20130531,-0.014153
20130603,0.006028
20130604,-0.005431
20130605,-0.013435
20130606,0.008539
20130607,0.012915
20130610,-0.000310
20130611,-0.010230
20130612,-0.008146
20130613,0.014841
20130614,-0.005876
20130617,0.007613
20130618,0.007811
20130619,-0.013912
20130620,-0.024876
20130621,0.002351
20130624,-0.011854
20130625,0.009489
20130626,0.009840
20130627,0.006371
20130628,-0.004367
20130701,0.005481
20130702,-0.000412
20130703,0.000831
20130705,0.010113
20130708,0.005695
20130709,0.007262
20130710,0.000236
20130711,0.013691
20130712,0.003009
20130715,0.001522
20130716,-0.003745
20130717,0.002830
20130718,0.005012
20130719,0.001503
20130722,0.002035
20130723,-0.001750
20130724,-0.003726
20130725,0.002500
20130726,0.000813
20130729,-0.003651
20130730,0.000527
20130731,-0.000104
20130801,0.012504
20130802,0.001666
20130805,-0.001412
20130806,-0.005701
20130807,-0.003545
20130808,0.004056
20130809,-0.003307
20130812,-0.001138
20130813,0.002888
20130814,-0.004962
20130815,-0.014269
20130816,-0.003337
20130819,-0.005888
20130820,0.003870
20130821,-0.005602
20130822,0.008594
20130823,0.004166
20130826,-0.004020
20130827,-0.015764
20130828,0.002691
20130829,0.002221
20130830,-0.002944
20130903,0.004108
20130904,0.008289
20130905,0.001261
20130906,0.000194
20130909,0.010143
20130910,0.007445
20130911,0.003132
20130912,-0.003057
20130913,0.002824
20130916,0.005725
20130917,0.004337
20130918,0.012281
20130919,-0.001649
20130920,-0.007180
20130923,-0.004703
20130924,-0.002512
20130925,-0.002836
20130926,0.003647
20130927,-0.004064
20130930,-0.006004
20131001,0.007948
20131002,-0.000453
20131003,-0.008983
20131004,0.006997
20131007,-0.008653
20131008,-0.011835
20131009,0.000665
20131010,0.021999
20131011,0.006247
20131014,0.004028
20131015,-0.007049
20131016,0.013931
20131017,0.006748
20131018,0.006599
20131021,0.000049
20131022,0.005811
20131023,-0.004769
20131024,0.003382
20131025,0.004538
20131028,0.001408
20131029,0.005638
20131030,-0.004725
20131031,-0.003629
20131101,0.002812
20131104,0.003611
20131105,-0.002643
20131106,0.004945
20131107,-0.013047
20131108,0.013383
20131111,0.000868
20131112,-0.002210
20131113,0.008407
20131114,0.005032
20131115,0.004164
20131118,-0.003615
20131119,-0.001941
20131120,-0.003578
20131121,0.008144
20131122,0.005076
20131125,-0.001130
20131126,0.000306
20131127,0.002796
20131129,-0.000704
20131202,-0.002526
20131203,-0.003192
20131204,-0.001071
20131205,-0.004448
20131206,0.011338
20131209,0.001871
20131210,-0.003295
20131211,-0.011122
20131212,-0.003588
20131213,-0.000063
20131216,0.006329
20131217,-0.003089
20131218,0.016609
20131219,-0.000494
20131220,0.005032
20131223,0.005333
20131224,0.003015
20131226,0.004784
20131227,-0.000212
20131230,-0.000111
20131231,0.003983
20140102,-0.008595
20140103,-0.000275
20140106,-0.002495
20140107,0.006090
20140108,0.000056
20140109,0.000369
20140110,0.002358
20140113,-0.012524
20140114,0.010866
20140115,0.005061
20140116,-0.001358
20140117,-0.003801
20140121,0.002788
20140122,0.000648
20140123,-0.008917
20140124,-0.020885
20140127,-0.004946
20140128,0.006288
20140129,-0.010172
20140130,0.011493
20140131,-0.006640
20140203,-0.022957
20140204,0.007695
20140205,-0.001722
20140206,0.012905
20140207,0.013283
20140210,0.001672
20140211,0.011133
20140212,0.000190
20140213,0.006053
20140214,0.004822
20140218,0.001301
20140219,-0.006349
20140220,0.006132
20140221,-0.001748
20140224,0.006270
20140225,-0.001301
20140226,0.000376
20140227,0.004977
20140228,0.002726
20140303,-0.007366
20140304,0.015324
20140305,0.000157
20140306,0.001736
20140307,0.000550
20140310,-0.000494
20140311,-0.005036
20140312,0.000613
20140313,-0.011595
20140314,-0.002778
20140317,0.009605
20140318,0.007293
20140319,-0.006192
20140320,0.006026
20140321,-0.002971
20140324,-0.004746
20140325,0.004416
20140326,-0.007022
20140327,-0.001715
20140328,0.004673
20140331,0.007985
20140401,0.007171
20140402,0.003009
20140403,-0.001183
20140404,-0.012602
20140407,-0.010670
20140408,0.004302
20140409,0.011019
20140410,-0.021010
20140411,-0.009449
20140414,0.008280
20140415,0.006704
20140416,0.010551
20140417,0.001345
20140421,0.003740
20140422,0.004064
20140423,-0.002149
20140424,0.001664
20140425,-0.008293
20140428,0.003239
20140429,0.004856
20140430,0.003123
20140501,-0.000047
20140502,-0.001378
20140505,0.001898
20140506,-0.008985
20140507,0.005960
20140508,-0.001097
20140509,0.001806
20140512,0.009899
20140513,0.000701
20140514,-0.004558
20140515,-0.009363
20140516,0.003727
20140519,0.003886
20140520,-0.006523
20140521,0.008260
20140522,0.002440
20140523,0.004329
20140527,0.005997
20140528,-0.001014
20140529,0.005499
20140530,0.001890
20140602,0.000832
20140603,-0.000387
20140604,0.002108
20140605,0.006645
20140606,0.004822
20140609,0.000962
20140610,-0.000262
20140611,-0.003447
20140612,-0.006838
20140613,0.003143
20140616,0.000825
20140617,0.002241
20140618,0.007848
20140619,0.001311
20140620,0.001691
20140623,-0.000019
20140624,-0.006352
20140625,0.004824
20140626,-0.001148
20140627,0.002066
20140630,-0.000311
20140701,0.006864
20140702,0.000656
20140703,0.005392
20140707,-0.003839
20140708,-0.006723
20140709,0.004662
20140710,-0.004144
20140711,0.001618
20140714,0.004856
20140715,-0.001933
20140716,0.004352
20140717,-0.011614
20140718,0.010239
20140721,-0.002260
20140722,0.004959
20140723,0.001767
20140724,0.000465
20140725,-0.004938
20140728,0.000228
20140729,-0.004486
20140730,0.000194
20140731,-0.019929
20140801,-0.002982
20140804,0.007143
20140805,-0.009499
20140806,0.000378
20140807,-0.005303
20140808,0.011524
20140811,0.002901
20140812,-0.001668
20140813,0.006939
20140814,0.004360
20140815,0.000085
20140818,0.008628
20140819,0.005292
20140820,0.002524
20140821,0.002979
20140822,-0.001758
20140825,0.004783
20140826,0.001090
20140827,0.000132
20140828,-0.001583
20140829,0.003363
20140902,-0.000439
20140903,-0.000566
20140904,-0.001383
20140905,0.005057
20140908,-0.002982
20140909,-0.006551
20140910,0.003676
20140911,0.001135
20140912,-0.005910
20140915,-0.000819
20140916,0.007541
20140917,0.001261
20140918,0.005027
20140919,-0.000442
20140922,-0.008037
20140923,-0.005735
20140924,0.007993
20140925,-0.016122
20140926,0.008738
20140929,-0.002507
20140930,-0.002648
20141001,-0.013082
20141002,0.000146
20141003,0.011167
20141006,-0.001490
20141007,-0.015091
20141008,0.017686
20141009,-0.020568
20141010,-0.011288
20141013,-0.016465
20141014,0.001633
20141015,-0.008095
20141016,0.000072
20141017,0.012737
20141020,0.009184
20141021,0.019483
20141022,-0.007090
20141023,0.012180
20141024,0.006866
20141027,-0.001469
20141028,0.011817
20141029,-0.001291
20141030,0.006384
20141031,0.011692
20141103,-0.000161
20141104,-0.002762
20141105,0.005923
20141106,0.004119
20141107,0.000677
20141110,0.003279
20141111,0.000677
20141112,-0.000444
20141113,0.000912
20141114,0.000423
20141117,0.000814
20141118,0.005303
20141119,-0.001267
20141120,0.001877
20141121,0.005325
20141124,0.002893
20141125,-0.001140
20141126,0.003037
20141128,-0.002131
20141201,-0.006999
20141202,0.006352
20141203,0.003846
20141204,-0.001108
20141205,0.001607
20141208,-0.007021
20141209,-0.000191
20141210,-0.016261
20141211,0.004852
20141212,-0.016058
20141215,-0.006143
20141216,-0.008611
20141217,0.020318
20141218,0.024296
20141219,0.004482
20141222,0.004086
20141223,0.001904
20141224,-0.000148
20141226,0.003310
20141229,0.000948
20141230,-0.004736
20141231,-0.010244
20150102,-0.000165
20150105,-0.018112
20150106,-0.008869
20150107,0.012110
20150108,0.017830
20150109,-0.008400
20150112,-0.007980
20150113,-0.002560
20150114,-0.005905
20150115,-0.009149
20150116,0.013317
20150120,0.001686
20150121,0.004874
20150122,0.015301
20150123,-0.005362
20150126,0.002496
20150127,-0.013292
20150128,-0.013339
20150129,0.009638
20150130,-0.012832
20150202,0.012851
20150203,0.014306
20150204,-0.003814
20150205,0.010546
20150206,-0.003109
20150209,-0.004306
20150210,0.010839
20150211,0.000206
20150212,0.009822
20150213,0.004082
20150217,0.001687
20150218,-0.000185
20150219,-0.000949
20150220,0.006179
20150223,-0.000248
20150224,0.002685
20150225,-0.000578
20150226,-0.001256
20150227,-0.002875
20150302,0.006270
20150303,-0.004584
20150304,-0.004182
20150305,0.001384
20150306,-0.014191
20150309,0.004038
20150310,-0.016802
20150311,-0.001821
20150312,0.012985
20150313,-0.005975
20150316,0.013627
20150317,-0.003348
20150318,0.012142
20150319,-0.004840
20150320,0.009114
20150323,-0.001711
20150324,-0.005943
20150325,-0.014650
20150326,-0.002283
20150327,0.002482
20150330,0.012275
20150331,-0.008564
20150401,-0.003964
20150402,0.003517
20150406,0.006606
20150407,-0.002077
20150408,0.003188
20150409,0.004435
20150410,0.005049
20150413,-0.004475
20150414,0.001618
20150415,0.005081
20150416,-0.000811
20150417,-0.011408
20150420,0.009185
20150421,-0.001377
20150422,0.005124
20150423,0.002475
20150424,0.002430
20150427,-0.004142
20150428,0.002747
20150429,-0.003773
20150430,-0.010055
20150501,0.010831
20150504,0.002882
20150505,-0.011716
20150506,-0.004029
20150507,0.004091
20150508,0.013380
20150511,-0.004815
20150512,-0.002810
20150513,-0.000103
20150514,0.010902
20150515,0.000819
20150518,0.003104
20150519,-0.000774
20150520,-0.000843
20150521,0.002523
20150522,-0.002228
20150526,-0.010319
20150527,0.009336
20150528,-0.001115
20150529,-0.006246
20150601,0.002189
20150602,-0.000941
20150603,0.002344
20150604,-0.008604
20150605,-0.001427
20150608,-0.006372
20150609,0.000510
20150610,0.012180
20150611,0.002003
20150612,-0.006905
20150615,-0.004626
20150616,0.005804
20150617,0.002029
20150618,0.009846
20150619,-0.005333
20150622,0.006047
20150623,0.000747
20150624,-0.007300
20150625,-0.002942
20150626,-0.000170
20150629,-0.020733
20150630,0.002715
20150701,0.007103
20150702,-0.000255
20150706,-0.003790
20150707,0.006243
20150708,-0.016269
20150709,0.002294
20150710,0.012365
20150713,0.011254
20150714,0.004466
20150715,-0.000920
20150716,0.008094
20150717,0.001293
20150720,0.000878
20150721,-0.004271
20150722,-0.002211
20150723,-0.005694
20150724,-0.010448
20150727,-0.005735
20150728,0.012287
20150729,0.007463
20150730,0.000173
20150731,-0.002188
20150803,-0.002674
20150804,-0.002135
20150805,0.003722
20150806,-0.007521
20150807,-0.003013
20150810,0.012667
20150811,-0.009154
20150812,0.001136
20150813,-0.001209
20150814,0.003978
20150817,0.005274
20150818,-0.002598
20150819,-0.008168
20150820,-0.020963
20150821,-0.031656
20150824,-0.039372
20150825,-0.013371
20150826,0.039178
20150827,0.024267
20150828,0.000638
20150831,-0.008319
20150901,-0.029419
20150902,0.018473
20150903,0.001312
20150904,-0.015208
20150908,0.025441
20150909,-0.013809
20150910,0.005224
20150911,0.004920
20150914,-0.004017
20150915,0.012701
20150916,0.008801
20150917,-0.002355
20150918,-0.016077
20150921,0.004610
20150922,-0.012320
20150923,-0.002029
20150924,-0.003418
20150925,-0.000514
20150928,-0.025484
20150929,0.001182
20150930,0.019174
20151001,0.002083
20151002,0.014534
20151005,0.018311
20151006,-0.003618
20151007,0.008414
20151008,0.008755
20151009,0.000816
20151012,0.001286
20151013,-0.006700
20151014,-0.005229
20151015,0.014745
20151016,0.004642
20151019,0.000199
20151020,-0.001494
20151021,-0.005683
20151022,0.016550
20151023,0.010927
20151026,-0.001801
20151027,-0.002522
20151028,0.011773
20151029,-0.000330
20151030,-0.004718
20151102,0.011687
20151103,0.002679
20151104,-0.003090
20151105,-0.000744
20151106,-0.000296
20151109,-0.009597
20151110,0.001874
20151111,-0.003284
20151112,-0.013719
20151113,-0.011285
